fpl_hostname,fpl_letter,fpl_name,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_rade,fpl_dens,fpl_eqt
HD 222076,b,HD 222076 b,871,1.83,0.08,495.8148,13.5,1.11,
HD 222155,b,HD 222155 b,3999,5.14,0.16,673.7996,13.4,1.54,
HD 222582,b,HD 222582 b,572.38,1.34,0.73,2660.2371,12.6,7.31,
HD 224538,b,HD 224538 b,1189.1,2.28,0.464,1897.4451,12.8,4.97,
HD 224693,b,HD 224693 b,26.6904,0.191,0.104,222.481,14,0.446,
HD 22781,b,HD 22781 b,528.07,1.167,0.8191,4338.2,12.3,12.8,
HD 23079,b,HD 23079 b,730.59998,1.6,0.1,829.5363,13.2,1.98,
HD 23127,b,HD 23127 b,1214,2.32,0.44,521.2412,13.5,1.16,
HD 231701,b,HD 231701 b,141.63,0.567,0.13,359.1479,13.7,0.768,
HD 233604,b,HD 233604 b,192,0.747,0.05,2089.644,12.7,5.61,
HD 23472,b,HD 23472 b,17.667,0.121,0,17.92,4.42,1.14,
HD 23472,c,HD 23472 c,29.625,0.17,0,17.18,4.31,1.18,
HD 23596,b,HD 23596 b,1561,2.77,0.27,2870.0049,12.5,8.07,
HD 238914,b,HD 238914 b,4100,5.7,0.56,1906.98,12.8,5,
HD 240210,b,HD 240210 b,501.75,1.16,0.15,1655.82,12.8,4.34,
HD 240237,b,HD 240237 b,745.70001,1.92,0.4,5050.3187,12.2,15.3,
HD 24040,b,HD 24040 b,3668,4.92,0.04,1226.8238,13,3.07,
HD 24064,b,HD 24064 b,535.59998,1.29,0.35,4096.8287,12.3,12.1,
HD 25171,b,HD 25171 b,1845,3.02,0.08,301.926,13.8,0.631,
HD 2638,b,HD 2638 b,3.4442,0.04,0,133.4886,14.3,0.251,
HD 26965,b,HD 26965 b,42.378,,0.04,8.47,2.84,2.03,
HD 27442,b,HD 27442 b,428.1,1.271,0.06,495.8,13.5,1.11,
HD 27631,b,HD 27631 b,2208,3.25,0.12,460.83,13.6,1.01,
HD 27894,b,HD 27894 b,18.02,0.125,0.047,211.35695,14.1,0.414,
HD 27894,c,HD 27894 c,36.07,0.198,0.015,51.48846,8.24,0.506,
HD 27894,d,HD 27894 d,5174,5.448,0.389,1721.04945,12.8,4.51,
HD 28185,b,HD 28185 b,379,1.02,0.05,1875.197,12.8,4.91,
HD 28254,b,HD 28254 b,1116,2.15,0.81,368.67,13.7,0.788,
HD 285507,b,HD 285507 b,6.0881,0.06,0.09,311.4734,13.8,0.651,
HD 285968,b,HD 285968 b,8.7836,0.066,0,8.4,2.83,2.04,450
HD 28678,b,HD 28678 b,380.2,1.18,0.149,490.09386,13.5,1.09,
HD 29021,b,HD 29021 b,1362.3,2.28,0.459,762.792,13.3,1.78,
HD 290327,b,HD 290327 b,2443,3.43,0.08,772.3269,13.3,1.8,
HD 2952,b,HD 2952 b,311.60001,1.23,0.13,435.4271,13.6,0.951,
HD 30177,b,HD 30177 b,2770,3.81,0.19,3006.6718,12.5,8.46,
HD 30177,c,HD 30177 c,11613,9.89,0.22,2415.508,12.6,6.64,
HD 30562,b,HD 30562 b,1157,2.34,0.76,387.7526,13.7,0.829,
HD 30669,b,HD 30669 b,1684,2.69,0.18,149.37,14.3,0.281,
HD 30856,b,HD 30856 b,847,1.85,0.061,491.68301,13.5,1.1,
HD 31253,b,HD 31253 b,466,1.26,0.3,197.0546,14.1,0.386,
HD 31527,b,HD 31527 b,16.5535,0.1254,0.1,10.47,3.22,1.72,
HD 31527,c,HD 31527 c,51.2053,0.2663,0.04,14.16,3.85,1.36,
HD 31527,d,HD 31527 d,271.6737,0.8098,0.24,11.82,3.46,1.57,
HD 3167,b,HD 3167 b,0.959624,0.0186,0,5.02,1.7,5.6,1669
HD 3167,c,HD 3167 c,29.83832,0.1841,0.267,9.8,2.86,1.97,531
HD 3167,d,HD 3167 d,8.509,0.07757,0.36,6.9,2.52,2.37,
HD 32518,b,HD 32518 b,157.54,0.59,0.01,966.16,13.1,2.36,
HD 32963,b,HD 32963 b,2372,3.41,0.07,222.481,14,0.446,
HD 330075,b,HD 330075 b,3.38773,0.04,0,152.5584,14.3,0.287,990
HD 33142,b,HD 33142 b,326,1.07,0.066,440.19455,13.6,0.962,
HD 33142,c,HD 33142 c,834,,0.05,1897.4451,12.8,4.97,
HD 33283,b,HD 33283 b,18.1991,0.1508,0.399,104.56607,12.5,0.294,
HD 33564,b,HD 33564 b,388,1.1,0.34,2892.1,12.5,8.14,
HD 33844,b,HD 33844 b,551.40002,1.6,0.15,638.8383,13.4,1.46,
HD 33844,c,HD 33844 c,916,2.24,0.13,556.2025,13.5,1.24,
HD 34445,b,HD 34445 b,1049,2.07,0.27,260.6206,13.9,0.533,
HD 34445,c,HD 34445 c,214.67,0.7181,0.036,53.5,8.42,0.492,
HD 34445,d,HD 34445 d,117.87,0.4817,0.027,30.7,6.07,0.754,
HD 34445,e,HD 34445 e,49.175,0.2687,0.09,16.8,4.26,1.19,
HD 34445,f,HD 34445 f,676.8,1.543,0.031,37.9,6.88,0.64,
HD 34445,g,HD 34445 g,5700,6.36,0.032,120.6,13.6,0.263,
HD 35759,b,HD 35759 b,82.467,0.389,0.389,1195.0408,13,2.99,
HD 3651,b,HD 3651 b,62.25,0.295,0.645,72.46524,10.1,0.386,
HD 37124,b,HD 37124 b,154.378,0.53364,0.054,214.53525,14,0.43,
HD 37124,c,HD 37124 c,885.5,1.71,0.125,207.22516,14.1,0.406,
HD 37124,d,HD 37124 d,1862,2.807,0.16,221.20968,14,0.443,
HD 37605,b,HD 37605 b,55.01292,0.277,0.6745,854.9627,13.2,2.04,
HD 37605,c,HD 37605 c,2720,3.74,0.03,1013.8777,13.1,2.48,
HD 38283,b,HD 38283 b,363.20001,1.02,0.41,127.132,14,0.255,
HD 38529,b,HD 38529 b,14.30944,0.1294,0.28,253.31051,13.9,0.518,
HD 38529,c,HD 38529 c,2136.1,3.64,0.3407,4128.6117,12.3,12.2,
HD 38801,b,HD 38801 b,686.8,1.66,0.059,3219.6179,12.5,9.06,
HD 39091,b,HD 39091 b,2093.07,3.1,0.637,3184.6566,12.5,8.96,
HD 40307,b,HD 40307 b,4.3123,0.0468,0.2,4,1.83,3.59,910
HD 40307,c,HD 40307 c,9.6184,0.0799,0.06,6.6,2.46,2.44,696
HD 40307,d,HD 40307 d,20.432,0.1321,0.07,9.5,3.04,1.86,541
HD 40307,f,HD 40307 f,51.76,0.247,0.02,5.2,2.13,2.96,398
HD 40307,g,HD 40307 g,197.8,0.6,0.29,7.1,2.56,2.33,255
HD 40956,b,HD 40956 b,578.6,1.4,0.24,858.141,13.2,2.05,
HD 40979,b,HD 40979 b,264.14999,0.85,0.25,1484.2661,12.9,3.8,
HD 41004 A,b,HD 41004 A b,963,,0.74,807.25,13.2,1.93,
HD 41004 B,b,HD 41004 B b,1.3283,,0.081,5838.29,12.1,18.1,
HD 4113,b,HD 4113 b,526.62,1.28,0.903,495.79,13.5,1.11,
HD 42012,b,HD 42012 b,857.5,1.67,0.2,508.528,13.5,1.14,
HD 4203,b,HD 4203 b,431.88,1.17,0.52,708.7609,13.3,1.66,
HD 4203,c,HD 4203 c,6700,6.95,0.24,689.66,13.3,1.61,
HD 4208,b,HD 4208 b,828,1.65,0.05,260.6206,13.9,0.533,
HD 42618,b,HD 42618 b,149.61,0.554,0.19,14.4,3.89,1.34,337
HD 4308,b,HD 4308 b,15.56,0.12,0,15.8915,4.12,1.25,
HD 4313,b,HD 4313 b,356.21,1.157,0.147,612.45841,13.4,1.4,
HD 43197,b,HD 43197 b,327.8,0.92,0.83,190.69,14.1,0.374,
HD 43691,b,HD 43691 b,36.9987,0.238,0.0796,810.4665,13.2,1.94,
HD 44219,b,HD 44219 b,472.3,1.19,0.61,184.33,14.1,0.361,
HD 45184,b,HD 45184 b,5.8854,0.0644,0.07,12.19,3.52,1.54,
HD 45184,c,HD 45184 c,13.1354,0.11,0.07,8.81,2.91,1.96,
HD 45350,b,HD 45350 b,963.6,1.92,0.778,568.89,13.5,1.27,
HD 45364,b,HD 45364 b,226.93,0.6813,0.1684,59.4953,8.97,0.453,
HD 45364,c,HD 45364 c,342.85,0.8972,0.0974,209.0915,14.1,0.41,
HD 45652,b,HD 45652 b,44.073,0.237,0.607,137.62039,14.3,0.259,
HD 46375,b,HD 46375 b,3.023573,0.0398,0.063,71.8,10,0.395,
HD 47186,b,HD 47186 b,4.0845,0.05,0.04,22.2481,5.02,0.966,
HD 47186,c,HD 47186 c,1353.6,2.395,0.249,111.42,13,0.279,
HD 4732,b,HD 4732 b,360.2,1.19,0.13,753.23,13.3,1.76,
HD 4732,c,HD 4732 c,2732,4.6,0.23,753.23,13.3,1.76,
HD 47366,b,HD 47366 b,363.3,1.214,0.089,556.2025,13.5,1.24,
HD 47366,c,HD 47366 c,684.7,1.853,0.278,591.1638,13.4,1.35,
