fpl_hostname,fpl_letter,fpl_name,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_rade,fpl_dens,fpl_eqt
Kepler-574,b,Kepler-574 b,7.65880414,,,6.3,2.39,2.54,
Kepler-575,b,Kepler-575 b,9.37891944,,,6.3,2.39,2.54,
Kepler-576,b,Kepler-576 b,29.91136794,,,10.7,3.27,1.68,
Kepler-577,b,Kepler-577 b,25.69578251,,,7.04,2.55,2.33,
Kepler-578,b,Kepler-578 b,1.6168837,,,4.66,2,3.2,
Kepler-579,b,Kepler-579 b,9.66857723,,,4.66,2,3.2,
Kepler-58,b,Kepler-58 b,10.2184954,,,441.77,2.78,,
Kepler-58,c,Kepler-58 c,15.5741568,,,696.02,2.86,,
Kepler-58,d,Kepler-58 d,40.101371,0.236,,8.96,2.94,1.94,
Kepler-580,b,Kepler-580 b,8.22241966,,,7.13,2.57,2.31,
Kepler-581,b,Kepler-581 b,40.6069821,,,7.41,2.63,2.24,
Kepler-582,b,Kepler-582 b,18.49235668,,,13.1,3.68,1.44,
Kepler-583,b,Kepler-583 b,6.5100253,,,5.82,2.28,2.7,
Kepler-584,b,Kepler-584 b,35.1810304,,,16.5,4.21,1.22,
Kepler-585,b,Kepler-585 b,2.75235975,,,8.4,2.83,2.04,
Kepler-586,b,Kepler-586 b,2.10472218,,,8.2,2.79,2.07,
Kepler-587,b,Kepler-587 b,10.94027841,,,5.6,2.23,2.77,
Kepler-588,b,Kepler-588 b,4.22162536,,,7.41,2.63,2.24,
Kepler-589,b,Kepler-589 b,16.54964934,,,5.77,2.27,2.71,
Kepler-59,b,Kepler-59 b,11.8681707,,,651.52,1.1,,
Kepler-59,c,Kepler-59 c,17.9801235,,,435.41,1.98,,
Kepler-590,b,Kepler-590 b,5.85296257,,,15.2,4.02,1.29,
Kepler-591,b,Kepler-591 b,81.1694299,,,11.4,3.39,1.61,
Kepler-592,b,Kepler-592 b,2.82019241,,,6.3,2.39,2.54,
Kepler-593,b,Kepler-593 b,21.21708973,,,8.6,2.87,2,
Kepler-594,b,Kepler-594 b,13.64618192,,,5.39,2.18,2.86,
Kepler-595,b,Kepler-595 b,25.30292332,,,13.9,3.81,1.38,
Kepler-596,b,Kepler-596 b,21.30022655,,,11.8,3.46,1.57,
Kepler-597,b,Kepler-597 b,13.02365861,,,6.21,2.37,2.56,
Kepler-598,b,Kepler-598 b,3.70175428,,,2.86,1.5,4.66,
Kepler-599,b,Kepler-599 b,15.65562652,,,8.45,2.84,2.03,
Kepler-6,b,Kepler-6 b,3.2346996,0.04852,0.06,212.31044,14.617,0.4,1460
Kepler-60,b,Kepler-60 b,7.1334,0.07497,0.0108,4.19,1.71,4.62,
Kepler-60,c,Kepler-60 c,8.9187,0.08701,0.0291,3.85,1.9,3.06,
Kepler-60,d,Kepler-60 d,11.8981,0.10548,0.0151,4.16,1.99,2.91,
Kepler-600,b,Kepler-600 b,23.67517607,,,8.75,2.9,1.97,
Kepler-601,b,Kepler-601 b,5.37886844,,,4.27,1.9,3.42,
Kepler-602,b,Kepler-602 b,15.28469497,,,5.02,2.09,3.02,
Kepler-603,b,Kepler-603 b,21.05358596,,,7.51,2.65,2.22,
Kepler-603,c,Kepler-603 c,127.9075774,,,34.5,6.5,0.69,
Kepler-603,d,Kepler-603 d,6.2171292,,,2.3,1.32,5.5,
Kepler-604,b,Kepler-604 b,25.85501786,,,7.22,2.59,2.28,
Kepler-605,b,Kepler-605 b,3.38353807,,,2.67,1.44,4.91,
Kepler-605,c,Kepler-605 c,2.35895152,,,0.566,0.86,4.89,
Kepler-606,b,Kepler-606 b,24.31575992,,,11,3.31,1.67,
Kepler-607,b,Kepler-607 b,0.6381632,,,0.59,0.87,4.92,
Kepler-608,b,Kepler-608 b,6.41251504,,,12.9,3.64,1.47,
Kepler-609,b,Kepler-609 b,6.52121067,,,11.2,3.35,1.64,
Kepler-61,b,Kepler-61 b,59.87756,0.24861,0.25,5.27,2.15,2.91,273
Kepler-610,b,Kepler-610 b,6.99692655,,,16.3,4.19,1.22,
Kepler-610,c,Kepler-610 c,151.86392,,,10.9,3.3,1.67,
Kepler-611,b,Kepler-611 b,2.4370333,,,3.36,1.65,4.11,
Kepler-612,b,Kepler-612 b,3.72215641,,,8.45,2.84,2.03,
Kepler-613,b,Kepler-613 b,15.77979614,,,5.86,2.29,2.68,
Kepler-614,b,Kepler-614 b,14.03491514,,,6.3,2.39,2.54,
Kepler-615,b,Kepler-615 b,10.35584657,,,3.68,1.74,3.84,
Kepler-616,b,Kepler-616 b,9.99761851,,,6.48,2.43,2.48,
Kepler-616,c,Kepler-616 c,90.4113556,,,11.5,3.41,1.59,
Kepler-617,b,Kepler-617 b,1.68269615,,,2.3,1.32,5.5,
Kepler-618,b,Kepler-618 b,3.59576964,,,7.27,2.6,2.27,
Kepler-619,b,Kepler-619 b,5.4042722,,,10.1,3.16,1.76,
Kepler-619,c,Kepler-619 c,1.20846503,,,3.5,1.69,3.98,
Kepler-62,b,Kepler-62 b,5.714932,0.0553,,9,1.31,,750
Kepler-62,c,Kepler-62 c,12.4417,0.0929,,4,0.54,,578
Kepler-62,d,Kepler-62 d,18.16406,0.12,,14,1.95,,510
Kepler-62,e,Kepler-62 e,122.3874,0.427,,36,1.61,,270
Kepler-62,f,Kepler-62 f,267.291,0.718,,35,1.41,,208
Kepler-620,b,Kepler-620 b,12.91375431,,,11,3.32,1.65,
Kepler-621,b,Kepler-621 b,2.62811375,,,5.9,2.3,2.66,
Kepler-622,b,Kepler-622 b,14.28226676,,,5.18,2.13,2.95,
Kepler-623,b,Kepler-623 b,9.07097734,,,9.32,3.01,1.88,
Kepler-624,b,Kepler-624 b,14.58649607,,,5.95,2.31,2.65,
Kepler-625,b,Kepler-625 b,7.75192492,,,4.62,1.99,3.22,
Kepler-625,c,Kepler-625 c,4.1653651,,,1.16,1.05,5.51,
Kepler-626,b,Kepler-626 b,14.48585199,,,5.86,2.29,2.68,
Kepler-627,b,Kepler-627 b,40.6994443,,,13.4,3.73,1.42,
Kepler-628,b,Kepler-628 b,15.4580567,,,53.2,8.4,0.493,
Kepler-629,b,Kepler-629 b,7.2385854,,,2.48,1.38,5.19,
Kepler-63,b,Kepler-63 b,9.4341505,0.08,0.45,120,6.11,3,
Kepler-630,b,Kepler-630 b,161.4743937,,,10.2,3.18,1.74,
Kepler-631,b,Kepler-631 b,17.97979059,,,8.75,2.9,1.97,
Kepler-632,b,Kepler-632 b,30.99660733,,,5.52,2.21,2.81,
Kepler-633,b,Kepler-633 b,8.50340718,,,3.29,1.63,4.17,
Kepler-634,b,Kepler-634 b,5.16950177,,,4.23,1.89,3.44,
Kepler-635,b,Kepler-635 b,23.44971004,,,7.46,2.64,2.23,
Kepler-636,b,Kepler-636 b,16.08066115,,,18.1,4.45,1.13,
Kepler-637,b,Kepler-637 b,23.20584623,,,20.2,4.75,1.04,
Kepler-638,b,Kepler-638 b,6.07972888,,,4.01,1.83,3.6,
Kepler-639,b,Kepler-639 b,10.21420496,,,6.26,2.38,2.55,
Kepler-640,b,Kepler-640 b,22.24813967,,,7.08,2.56,2.32,
Kepler-641,b,Kepler-641 b,9.48961571,,,4.08,1.85,3.54,
Kepler-642,b,Kepler-642 b,4.41745855,,,8.75,2.9,1.97,
Kepler-643,b,Kepler-643 b,16.33889626,0.126,0.37,321.0083,10.16,1.68,
Kepler-644,b,Kepler-644 b,3.1739171,,,10.1,3.15,1.78,
Kepler-645,b,Kepler-645 b,3.27582262,,,5.06,2.1,3,
Kepler-646,b,Kepler-646 b,15.87364565,,,4.62,1.99,3.22,
Kepler-647,b,Kepler-647 b,16.2254649,,,1.71,1.17,5.87,
Kepler-648,b,Kepler-648 b,17.4211749,,,10.5,3.22,1.73,
Kepler-649,b,Kepler-649 b,29.90722674,,,5.73,2.26,2.73,
Kepler-65,b,Kepler-65 b,2.15491,0.035,0.02,2.6,1.42,4.99,
Kepler-65,c,Kepler-65 c,5.859944,0.068,0.08,26.6,2.58,8.51,
Kepler-65,d,Kepler-65 d,8.13123,0.084,0.1,2.92,1.52,4.57,
Kepler-650,b,Kepler-650 b,3.03214559,,,9.06,2.96,1.92,
Kepler-651,b,Kepler-651 b,21.38521506,,,6.21,2.37,2.56,
Kepler-652,b,Kepler-652 b,4.18200253,,,6.76,2.49,2.41,
Kepler-653,b,Kepler-653 b,14.70748976,,,4.46,1.95,3.31,
Kepler-653,c,Kepler-653 c,0.90037648,,,0.399,0.78,4.62,
Kepler-654,b,Kepler-654 b,13.72465129,,,4.94,2.07,3.06,
Kepler-655,b,Kepler-655 b,46.4063358,,,7.8,2.71,2.15,
Kepler-656,b,Kepler-656 b,1.26025909,,,9.91,3.12,1.79,
Kepler-657,b,Kepler-657 b,24.54350418,,,12.2,3.52,1.54,
Kepler-658,b,Kepler-658 b,1.28707676,,,3.29,1.63,4.17,
Kepler-659,b,Kepler-659 b,17.671796,,,6.8,2.5,2.39,
Kepler-66,b,Kepler-66 b,17.815815,0.1352,,8.25,2.8,2.07,
Kepler-660,b,Kepler-660 b,9.27358194,,,7.13,2.57,2.31,
Kepler-661,b,Kepler-661 b,6.02930132,,,9.64,3.07,1.83,
Kepler-662,b,Kepler-662 b,21.67697486,,,5.39,2.18,2.86,
Kepler-663,b,Kepler-663 b,4.99678284,,,7.27,2.6,2.27,
Kepler-664,b,Kepler-664 b,2.52559332,,,7.56,2.66,2.21,
Kepler-665,b,Kepler-665 b,16.01310205,,,7.27,2.6,2.27,
Kepler-666,b,Kepler-666 b,4.49876092,,,6.35,2.4,2.52,
Kepler-667,b,Kepler-667 b,41.43962808,,,20.1,4.73,1.04,
Kepler-668,b,Kepler-668 b,8.35390639,,,7.75,2.7,2.16,
Kepler-669,b,Kepler-669 b,4.12554687,,,20.8,4.83,1.01,
Kepler-67,b,Kepler-67 b,15.7259,0.1171,,8.96,2.94,1.94,
Kepler-670,b,Kepler-670 b,2.81650485,,,,13.18,,
Kepler-671,b,Kepler-671 b,4.28095859,,,7.7,2.69,2.17,
Kepler-672,b,Kepler-672 b,38.3774623,,,6.8,2.5,2.39,
Kepler-673,b,Kepler-673 b,3.72873109,,,34.8,6.54,0.684,
Kepler-674,b,Kepler-674 b,2.24338185,,,3.5,1.69,3.98,
Kepler-675,b,Kepler-675 b,2.33743801,,,6.53,2.44,2.47,
Kepler-676,b,Kepler-676 b,11.59822172,,,9.48,3.04,1.85,
Kepler-677,b,Kepler-677 b,6.57531678,,,25,5.38,0.882,
Kepler-678,b,Kepler-678 b,7.27503724,,,23.1,5.14,0.935,
Kepler-679,b,Kepler-679 b,12.39358604,,,9.32,3.01,1.88,
Kepler-68,b,Kepler-68 b,5.39876,0.0617,0,6.3566,2.354,2.6,1280
Kepler-68,c,Kepler-68 c,9.60504,0.09059,0.42,7.2,1,28,
Kepler-68,d,Kepler-68 d,625,1.4,0.18,267,13.9,0.546,
Kepler-680,b,Kepler-680 b,3.68992629,,,6.44,2.42,2.5,
Kepler-681,b,Kepler-681 b,26.39435646,,,9.69,3.08,1.82,
Kepler-682,b,Kepler-682 b,12.61190667,,,42.6,7.37,0.585,
Kepler-683,b,Kepler-683 b,2.53918318,,,4.54,1.97,3.26,
Kepler-684,b,Kepler-684 b,6.77030201,,,11.2,3.36,1.62,
Kepler-685,b,Kepler-685 b,1.6255222,,,78.8,10.58,0.366,
Kepler-686,b,Kepler-686 b,1.59474546,,,,12.15,,
Kepler-687,b,Kepler-687 b,20.50586978,,,12.2,3.52,1.54,
Kepler-688,b,Kepler-688 b,3.89593684,,,68.7,9.76,0.406,
Kepler-689,b,Kepler-689 b,22.36656079,,,8.7,2.89,1.98,
Kepler-69,b,Kepler-69 b,13.722341,0.094,0.16,5.65,2.24,0.913,779
Kepler-69,c,Kepler-69 c,242.4613,0.64,0.14,3.57,1.71,0.913,299
Kepler-690,b,Kepler-690 b,7.74809437,,,29.6,5.95,0.772,
Kepler-691,b,Kepler-691 b,8.114379,,,5.02,2.09,3.02,
Kepler-692,b,Kepler-692 b,21.81293494,,,9.85,3.11,1.8,
Kepler-693,b,Kepler-693 b,15.37563332,,,73.8,10.18,0.384,
Kepler-694,b,Kepler-694 b,6.36584161,,,8.25,2.8,2.07,
Kepler-695,b,Kepler-695 b,3.04033042,,,62.3,9.21,0.438,
Kepler-696,b,Kepler-696 b,4.19042557,,,31.3,6.14,0.743,
Kepler-697,b,Kepler-697 b,3.70987065,,,16,4.13,1.25,
Kepler-698,b,Kepler-698 b,16.32976218,,,13.1,3.68,1.44,
Kepler-699,b,Kepler-699 b,27.80756293,,,,14.11,,
Kepler-7,b,Kepler-7 b,4.8854892,0.06067,0.026,140.16303,18.181,0.14,1630
Kepler-700,b,Kepler-700 b,80.8720639,,,30,5.99,0.767,
Kepler-701,b,Kepler-701 b,10.35533177,,,8.45,2.84,2.03,
Kepler-702,b,Kepler-702 b,10.52629406,,,61.8,9.17,0.44,
Kepler-703,b,Kepler-703 b,4.58352176,,,51.1,8.2,0.509,
Kepler-704,b,Kepler-704 b,3.76182115,,,7.32,2.61,2.26,
Kepler-705,b,Kepler-705 b,56.0560538,0.232,,5.1,2.11,5.55,265
Kepler-706,b,Kepler-706 b,41.40831347,,,,13.17,,
Kepler-707,b,Kepler-707 b,2.23749275,,,2.33,1.33,5.44,
Kepler-708,b,Kepler-708 b,3.16789194,,,8.91,2.93,1.95,
Kepler-709,b,Kepler-709 b,16.08524954,,,8.85,2.92,1.95,
Kepler-710,b,Kepler-710 b,4.34728553,,,4.19,1.88,3.47,
Kepler-711,b,Kepler-711 b,23.58914398,,,11.5,3.41,1.59,
Kepler-712,b,Kepler-712 b,21.02247699,,,11.5,3.41,1.59,
Kepler-712,c,Kepler-712 c,226.89047,,,21,4.85,1.01,
Kepler-713,b,Kepler-713 b,7.411141,,,6.71,2.48,2.42,
Kepler-714,b,Kepler-714 b,8.09888799,,,67.6,9.67,0.411,
Kepler-715,b,Kepler-715 b,10.00652995,,,13.5,3.75,1.41,
Kepler-716,b,Kepler-716 b,10.37168453,,,8.75,2.9,1.97,
Kepler-717,b,Kepler-717 b,4.40840023,,,6.44,2.42,2.5,
Kepler-718,b,Kepler-718 b,2.0523499,,,41600,16.56,50.3,
Kepler-719,b,Kepler-719 b,5.00731778,,,54.5,8.52,0.484,
Kepler-720,b,Kepler-720 b,4.70832654,,,53.4,8.41,0.493,
Kepler-721,b,Kepler-721 b,5.39202539,,,7.46,2.64,2.23,
Kepler-722,b,Kepler-722 b,4.09357325,,,7.41,2.63,2.24,
Kepler-722,c,Kepler-722 c,105.144749,,,8.35,2.82,2.05,
Kepler-723,b,Kepler-723 b,4.08227507,,,,12.19,,
Kepler-724,b,Kepler-724 b,3.31494634,,,10.8,3.29,1.67,
Kepler-725,b,Kepler-725 b,39.64317811,,,79.4,10.63,0.363,
Kepler-726,b,Kepler-726 b,21.80451088,,,10.7,3.26,1.7,
Kepler-727,b,Kepler-727 b,5.15448442,,,6.94,2.53,2.35,
Kepler-728,b,Kepler-728 b,5.74347727,,,11.1,3.34,1.64,
Kepler-729,b,Kepler-729 b,3.16635371,,,12.5,3.58,1.5,
Kepler-730,b,Kepler-730 b,6.49168281,0.0694,,,12.33,,1219
Kepler-730,c,Kepler-730 c,2.85188338,0.03997,,3.09,1.569,4.39,1607
Kepler-731,b,Kepler-731 b,3.85560355,,,,13.88,,
Kepler-732,b,Kepler-732 b,9.46781405,,,5.39,2.18,2.86,
Kepler-732,c,Kepler-732 c,0.89304124,,,2.15,1.27,5.77,
Kepler-733,b,Kepler-733 b,20.83424726,,,8.35,2.82,2.05,
Kepler-734,b,Kepler-734 b,6.10485286,,,12.4,3.56,1.51,
Kepler-735,b,Kepler-735 b,11.51516988,,,9.01,2.95,1.93,
Kepler-736,b,Kepler-736 b,3.60147201,,,8.91,2.93,1.95,
Kepler-737,b,Kepler-737 b,28.59915399,,,4.5,1.96,3.28,
Kepler-738,b,Kepler-738 b,24.58721573,,,6.8,2.5,2.39,
Kepler-739,b,Kepler-739 b,12.53248465,,,11,3.32,1.65,
Kepler-74,b,Kepler-74 b,7.340711,0.0781,0,200.22,10.76,0.88,1078
Kepler-740,b,Kepler-740 b,3.58410122,,,18.9,4.57,1.09,
Kepler-741,b,Kepler-741 b,7.03902374,,,9.11,2.97,1.91,
Kepler-742,b,Kepler-742 b,8.36086824,,,10.6,3.24,1.71,
Kepler-743,b,Kepler-743 b,3.17926292,,,1.92,1.21,5.96,
Kepler-744,b,Kepler-744 b,12.06222443,,,3.26,1.62,4.21,
Kepler-745,b,Kepler-745 b,9.93143556,,,5.31,2.16,2.9,
Kepler-746,b,Kepler-746 b,3.48159251,,,1.41,1.11,5.67,
Kepler-747,b,Kepler-747 b,35.61760587,,,24.1,5.27,0.905,
Kepler-748,b,Kepler-748 b,7.40742793,,,6.9,2.52,2.37,
Kepler-749,b,Kepler-749 b,17.31716585,,,9.8,3.1,1.81,
Kepler-75,b,Kepler-75 b,8.8849116,0.0818,0.57,3209.9,11.77,11,767
Kepler-750,b,Kepler-750 b,9.42887179,,,9.64,3.07,1.83,
Kepler-750,c,Kepler-750 c,4.08899022,,,3.26,1.62,4.21,
Kepler-751,b,Kepler-751 b,17.44490636,,,6.62,2.46,2.44,
Kepler-752,b,Kepler-752 b,18.82747265,,,8.3,2.81,2.06,
Kepler-753,b,Kepler-753 b,5.74772501,,,4.31,1.91,3.4,
Kepler-754,b,Kepler-754 b,14.5596237,,,4.7,2.01,3.18,
Kepler-755,b,Kepler-755 b,1.26909037,,,3.75,1.76,3.78,
Kepler-755,c,Kepler-755 c,2.85313364,,,2.13,1.26,5.85,
Kepler-756,b,Kepler-756 b,1.22486632,,,1.46,1.12,5.71,
Kepler-757,b,Kepler-757 b,1.02267882,,,2.42,1.36,5.29,
Kepler-758,b,Kepler-758 b,12.1097104,,,6.71,2.48,2.42,
Kepler-758,c,Kepler-758 c,4.75793986,,,3.5,1.69,3.98,
Kepler-758,d,Kepler-758 d,20.4966197,,,5.14,2.12,2.96,
Kepler-758,e,Kepler-758 e,8.1934719,,,2.96,1.53,4.54,
Kepler-759,b,Kepler-759 b,41.805985,,,5.77,2.27,2.71,
Kepler-76,b,Kepler-76 b,1.5449298,0.0274,0.078,638.8383,15.244,1.1,2140
Kepler-760,b,Kepler-760 b,8.70419416,,,9.59,3.06,1.84,
Kepler-760,c,Kepler-760 c,2.46697439,,,2.79,1.48,4.73,
Kepler-761,b,Kepler-761 b,10.12804789,,,4.78,2.03,3.14,
Kepler-762,b,Kepler-762 b,3.7705521,,,,12.68,,
Kepler-763,b,Kepler-763 b,1.19655156,,,1.98,1.22,5.99,
Kepler-764,b,Kepler-764 b,7.33683936,,,3.33,1.64,4.15,
Kepler-765,b,Kepler-765 b,27.6655226,,,6.48,2.43,2.48,
Kepler-766,b,Kepler-766 b,6.10027804,,,11.4,3.39,1.61,
Kepler-767,b,Kepler-767 b,161.5280101,,,35.7,6.64,0.67,
Kepler-768,b,Kepler-768 b,11.3910025,,,3.86,1.79,3.7,
Kepler-769,b,Kepler-769 b,7.42608998,,,8.85,2.92,1.95,
Kepler-769,c,Kepler-769 c,15.9870174,,,3.86,1.79,3.7,
Kepler-77,b,Kepler-77 b,3.57878087,0.04501,0,136.661,10.761,0.603,1440
Kepler-770,b,Kepler-770 b,18.92540274,,,5.9,2.3,2.66,
Kepler-770,c,Kepler-770 c,1.47532231,,,1.87,1.2,5.95,
Kepler-770,d,Kepler-770 d,4.15244722,,,2.54,1.4,5.09,
Kepler-771,b,Kepler-771 b,8.73485836,,,3.97,1.82,3.62,
Kepler-772,b,Kepler-772 b,12.99207337,,,3.97,1.82,3.62,
Kepler-773,b,Kepler-773 b,3.74910006,,,2.63,1.43,4.94,
Kepler-774,b,Kepler-774 b,11.0895723,,,10.2,3.17,1.76,
Kepler-775,b,Kepler-775 b,0.97486893,,,1.81,1.19,5.9,
Kepler-776,b,Kepler-776 b,4.89718784,,,2.18,1.28,5.71,
Kepler-777,b,Kepler-777 b,5.72812599,,,2.76,1.47,4.77,
Kepler-778,b,Kepler-778 b,3.75574426,,,3.46,1.68,4.01,
Kepler-779,b,Kepler-779 b,7.09714223,,,0.721,0.92,5.09,
Kepler-78,b,Kepler-78 b,0.35500744,,0,3.1783,1.121,6,2250
Kepler-780,b,Kepler-780 b,0.67737516,,,0.64,0.89,4.99,
Kepler-781,b,Kepler-781 b,13.2140732,,,8.7,2.89,1.98,
Kepler-782,b,Kepler-782 b,158.6853308,,,10.4,3.21,1.73,
Kepler-783,b,Kepler-783 b,4.29264638,,,0.399,0.78,4.62,
Kepler-784,b,Kepler-784 b,31.5922646,,,3.12,1.58,4.35,
Kepler-785,b,Kepler-785 b,1.97376093,,,,13.02,,
Kepler-786,b,Kepler-786 b,53.5293487,,,6.48,2.43,2.48,
Kepler-787,b,Kepler-787 b,0.9283105,,,2.18,1.28,5.71,
Kepler-788,b,Kepler-788 b,8.39846269,,,7.04,2.55,2.33,
Kepler-789,b,Kepler-789 b,8.63847725,,,5.14,2.12,2.96,
Kepler-79,b,Kepler-79 b,13.4845,0.117,0.015,10.9,3.47,1.43,
Kepler-79,c,Kepler-79 c,27.4029,0.187,0.03,5.9,3.72,0.62,
Kepler-79,d,Kepler-79 d,52.0902,0.287,0.025,6,7.16,0.09,
Kepler-79,e,Kepler-79 e,81.0659,0.386,0.012,4.1,3.49,0.53,
Kepler-790,b,Kepler-790 b,13.73469807,,,5.39,2.18,2.86,
Kepler-791,b,Kepler-791 b,14.5539759,,,9.53,3.05,1.85,
Kepler-792,b,Kepler-792 b,11.30119217,,,4.5,1.96,3.28,
Kepler-793,b,Kepler-793 b,4.24153639,,,2.45,1.37,5.24,
Kepler-794,b,Kepler-794 b,11.13125132,,,5.1,2.11,2.98,
Kepler-795,b,Kepler-795 b,29.6193421,,,3.46,1.68,4.01,
Kepler-796,b,Kepler-796 b,6.40087618,,,2.24,1.3,5.6,
Kepler-797,b,Kepler-797 b,27.07237711,,,5.35,2.17,2.88,
Kepler-798,b,Kepler-798 b,13.71933369,,,6.3,2.39,2.54,
Kepler-799,b,Kepler-799 b,133.4605235,,,37.9,6.88,0.64,
Kepler-8,b,Kepler-8 b,3.5224991,0.0474,0.18,187.5197,15.872,0.27,1680
Kepler-80,b,Kepler-80 b,7.05246,0.0648,,6.93,2.67,1.38,546
Kepler-80,c,Kepler-80 c,9.52355,0.0792,,6.74,2.74,1.22,494
Kepler-80,d,Kepler-80 d,3.07222,0.0372,,6.75,1.53,7.04,720
Kepler-80,e,Kepler-80 e,4.64489,0.0491,,4.13,1.6,3.75,628
Kepler-80,f,Kepler-80 f,0.9867873,0.0175,,1.92,1.21,5.96,
Kepler-80,g,Kepler-80 g,14.64558,,,1.51,1.13,5.75,418
Kepler-800,b,Kepler-800 b,14.13176026,,,8.5,2.85,2.02,
Kepler-801,b,Kepler-801 b,11.41928253,,,4.66,2,3.2,
Kepler-802,b,Kepler-802 b,40.0587473,,,12.3,3.54,1.52,
Kepler-803,b,Kepler-803 b,50.28638192,,,13.8,3.79,1.39,
Kepler-804,b,Kepler-804 b,14.37457351,,,4.42,1.94,3.33,
Kepler-804,c,Kepler-804 c,9.65185017,,,1.55,1.14,5.75,
Kepler-805,b,Kepler-805 b,30.8638931,,,8.7,2.89,1.98,
Kepler-806,b,Kepler-806 b,8.09219642,,,1.55,1.14,5.75,
Kepler-807,b,Kepler-807 b,117.93108781,,,76.8,10.42,0.373,
Kepler-808,b,Kepler-808 b,0.63133235,,,2.73,1.46,4.82,
Kepler-809,b,Kepler-809 b,55.63934,,,9.32,3.01,1.88,
Kepler-81,b,Kepler-81 b,5.955,0.0522,,17.2,2.42,6.67,541
Kepler-81,c,Kepler-81 c,12.04,0.08347,,4.3,2.37,1.77,428
Kepler-81,d,Kepler-81 d,20.837846,0.128,,1.92,1.21,5.96,
Kepler-810,b,Kepler-810 b,4.59725385,,,4.38,1.93,3.35,
Kepler-811,b,Kepler-811 b,23.58447697,,,7.75,2.7,2.16,
Kepler-812,b,Kepler-812 b,10.11716531,,,12.3,3.55,1.51,
Kepler-813,b,Kepler-813 b,19.12947337,,,5.22,2.14,2.93,
Kepler-814,b,Kepler-814 b,6.1469851,,,5.14,2.12,2.96,
Kepler-815,b,Kepler-815 b,8.57503552,,,15.8,4.11,1.25,
Kepler-816,b,Kepler-816 b,10.50682565,,,74.5,10.24,0.381,
Kepler-817,b,Kepler-817 b,3.99010623,,,60.2,9.03,0.449,
Kepler-818,b,Kepler-818 b,10.03538581,,,22.9,5.11,0.943,
Kepler-819,b,Kepler-819 b,33.1995648,,,8.05,2.76,2.1,
Kepler-82,b,Kepler-82 b,26.444,,,51,4,4.38,
Kepler-82,c,Kepler-82 c,51.538,,,18.4,5.35,0.66,
Kepler-82,d,Kepler-82 d,2.382961,0.034,,3.78,1.77,3.75,
Kepler-82,e,Kepler-82 e,5.902206,0.063,,6.66,2.47,2.43,
Kepler-820,b,Kepler-820 b,127.8338098,,,30.8,6.09,0.749,
Kepler-821,b,Kepler-821 b,1.92279873,,,2.27,1.31,5.55,
Kepler-822,b,Kepler-822 b,3.22296927,,,3.78,1.77,3.75,
Kepler-823,b,Kepler-823 b,4.16809082,,,3.09,1.57,4.39,
Kepler-824,b,Kepler-824 b,4.51436633,,,4.16,1.87,3.5,
Kepler-825,b,Kepler-825 b,3.77360059,,,2.96,1.53,4.54,
Kepler-825,c,Kepler-825 c,8.1818246,,,4.04,1.84,3.56,
Kepler-826,b,Kepler-826 b,4.48758907,,,2.1,1.25,5.91,
Kepler-827,b,Kepler-827 b,51.92927591,,,27,5.63,0.831,
Kepler-828,b,Kepler-828 b,0.56785714,,,2.89,1.51,4.61,
Kepler-829,b,Kepler-829 b,6.88337562,,,5.1,2.11,2.98,
Kepler-83,b,Kepler-83 b,9.77,0.07295,,42.1,2.83,10.2,460
Kepler-83,c,Kepler-83 c,20.09,0.11796,,11.4,2.36,4.77,362
Kepler-83,d,Kepler-83 d,5.169796,0.051,,24.6,1.94,18.5,569
Kepler-830,b,Kepler-830 b,11.29695137,,,3.53,1.7,3.95,
Kepler-831,b,Kepler-831 b,5.62153941,,,2.15,1.27,5.77,
Kepler-832,b,Kepler-832 b,7.1396941,,,4.9,2.06,3.08,
Kepler-833,b,Kepler-833 b,18.7546998,,,4.74,2.02,3.16,
Kepler-834,b,Kepler-834 b,13.32388301,,,4.74,2.02,3.16,
Kepler-835,b,Kepler-835 b,11.41909375,,,8.2,2.79,2.07,
Kepler-836,b,Kepler-836 b,11.36112327,,,7.9,2.73,2.13,
Kepler-837,b,Kepler-837 b,16.56059504,,,7.08,2.56,2.32,
Kepler-838,b,Kepler-838 b,15.74957994,,,7.9,2.73,2.13,
Kepler-839,b,Kepler-839 b,37.8144514,,,7.13,2.57,2.31,
Kepler-84,b,Kepler-84 b,8.726,,,40,2.23,19.8,
Kepler-84,c,Kepler-84 c,12.883,,,20.2,2.36,8.44,
Kepler-84,d,Kepler-84 d,4.224537,0.052,,2.48,1.38,5.19,
Kepler-84,e,Kepler-84 e,27.434389,0.181,,7.27,2.6,2.27,
Kepler-84,f,Kepler-84 f,44.552169,0.25,,5.48,2.2,2.83,
Kepler-840,b,Kepler-840 b,2.49577962,,,43000,17.07,47.5,
Kepler-841,b,Kepler-841 b,124.4198398,,,23.8,5.23,0.914,
Kepler-842,b,Kepler-842 b,1.21956827,,,3.19,1.6,4.28,
Kepler-843,b,Kepler-843 b,2.05387982,,,7.22,2.59,2.28,
Kepler-844,b,Kepler-844 b,2.61302086,,,3.46,1.68,4.01,
Kepler-845,b,Kepler-845 b,0.92785982,,,4.82,2.04,3.12,
Kepler-846,b,Kepler-846 b,19.80792185,,,6.71,2.48,2.42,
