loc_rowid,fpl_hostname,fpl_letter,fpl_name,fpl_orbper,fpl_bmasse,fpl_rade,fpl_eqt
2389,Kepler-253,c,Kepler-253 c,10.28195100,7.51000,2.650,
2390,Kepler-253,d,Kepler-253 d,18.11986900,10.20000,3.170,
2391,Kepler-254,b,Kepler-254 b,5.82666200,14.30000,3.870,
2392,Kepler-254,c,Kepler-254 c,12.41218300,3.20000,2.150,
2393,Kepler-254,d,Kepler-254 d,18.74647700,6.80000,2.500,
2394,Kepler-255,b,Kepler-255 b,5.71460600,3.02000,1.550,
2395,Kepler-255,c,Kepler-255 c,9.94604700,9.22000,2.990,
2396,Kepler-255,d,Kepler-255 d,1.04562266,2.30000,1.320,
2397,Kepler-256,b,Kepler-256 b,1.62049300,3.15000,1.590,
2398,Kepler-256,c,Kepler-256 c,3.38802000,5.27000,2.150,
2399,Kepler-256,d,Kepler-256 d,5.83917200,6.71000,2.480,
2400,Kepler-256,e,Kepler-256 e,10.68157200,6.12000,2.350,
2401,Kepler-257,b,Kepler-257 b,2.38266700,7.32000,2.610,
2402,Kepler-257,c,Kepler-257 c,6.58148400,25.20000,5.410,
2403,Kepler-257,d,Kepler-257 d,24.66455100,21.70000,4.950,
2404,Kepler-258,b,Kepler-258 b,13.19722000,15.50000,4.060,
2405,Kepler-258,c,Kepler-258 c,33.65307900,12.70000,3.610,
2406,Kepler-259,b,Kepler-259 b,8.11531700,8.25000,2.800,
2407,Kepler-259,c,Kepler-259 c,36.92493100,7.75000,2.700,
2408,Kepler-26,b,Kepler-26 b,12.28000000,5.12000,2.780,427
2409,Kepler-26,c,Kepler-26 c,17.25590000,6.20000,2.720,381
2410,Kepler-26,d,Kepler-26 d,3.54391900,1.24000,1.070,646
2411,Kepler-26,e,Kepler-26 e,46.82791500,6.39000,2.410,
2412,Kepler-260,b,Kepler-260 b,8.18739900,4.70000,2.010,
2413,Kepler-260,c,Kepler-260 c,76.05017800,3.68000,1.740,
2414,Kepler-261,b,Kepler-261 b,10.38122700,5.39000,2.180,
2415,Kepler-261,c,Kepler-261 c,24.57085800,4.66000,2.000,
2416,Kepler-262,b,Kepler-262 b,13.06085500,2.42000,1.360,
2417,Kepler-262,c,Kepler-262 c,21.85372200,3.33000,1.640,
2418,Kepler-263,b,Kepler-263 b,16.56808700,7.61000,2.670,
2419,Kepler-263,c,Kepler-263 c,47.33277300,6.66000,2.470,
2420,Kepler-264,b,Kepler-264 b,40.80623100,11.10000,3.330,
2421,Kepler-264,c,Kepler-264 c,140.10126100,8.40000,2.830,
2422,Kepler-265,b,Kepler-265 b,6.84626200,4.12000,1.860,
2423,Kepler-265,c,Kepler-265 c,17.02893700,7.41000,2.630,
2424,Kepler-265,d,Kepler-265 d,43.13061700,6.76000,2.490,
2425,Kepler-265,e,Kepler-265 e,67.83102400,7.22000,2.590,
2426,Kepler-266,b,Kepler-266 b,6.61833000,6.71000,2.480,
2427,Kepler-266,c,Kepler-266 c,107.72360100,14.40000,3.890,
2428,Kepler-267,b,Kepler-267 b,3.35372800,37.90000,1.980,617
2429,Kepler-267,c,Kepler-267 c,6.87745000,5.18000,2.130,
2430,Kepler-267,d,Kepler-267 d,28.46451500,5.77000,2.270,
2431,Kepler-268,b,Kepler-268 b,25.93413800,7.04000,2.550,
2432,Kepler-268,c,Kepler-268 c,83.44639300,11.40000,3.380,
2433,Kepler-269,b,Kepler-269 b,5.32671800,6.66000,2.470,
2434,Kepler-269,c,Kepler-269 c,8.12789900,3.50000,1.690,
2435,Kepler-27,b,Kepler-27 b,15.33480000,2895.31000,4.000,
2436,Kepler-27,c,Kepler-27 c,31.33090000,4385.87000,4.900,
2437,Kepler-270,b,Kepler-270 b,11.47609400,4.70000,2.010,
2438,Kepler-270,c,Kepler-270 c,25.26288700,3.78000,1.770,
2439,Kepler-271,b,Kepler-271 b,10.43547805,2.04000,1.230,
2440,Kepler-271,c,Kepler-271 c,7.41086267,0.80900,0.950,
2441,Kepler-271,d,Kepler-271 d,5.24972541,0.21900,0.660,
2442,Kepler-272,b,Kepler-272 b,2.97135300,78.00000,1.430,
2443,Kepler-272,c,Kepler-272 c,6.05734200,97.80000,1.790,
2444,Kepler-272,d,Kepler-272 d,10.93730400,5.69000,2.250,
2445,Kepler-273,b,Kepler-273 b,2.93653200,2.86000,1.500,
2446,Kepler-273,c,Kepler-273 c,8.01492700,4.58000,1.980,
2447,Kepler-274,b,Kepler-274 b,11.63478800,2.99000,1.540,
2448,Kepler-274,c,Kepler-274 c,33.19786100,4.04000,1.840,
2449,Kepler-275,b,Kepler-275 b,10.30068200,6.08000,2.340,
